Time,camera_id,best_confidence,best_region,best_region_confidence,country,is_parked,frame_start,frame_end,epoch_start,epoch_end,best_uuid,travel_direction,vehicle-make-name,vehicle-make-confidence,vehicle-make_model-name,vehicle-make_model-confidence,vehicle-body_type-name,vehicle-body_type-confidence,vehicle-color-name,vehicle-color-confidence
2022-09-02 05:16:29,221388142,93.83948517,us-nv,61,us,FALSE,566667,566669,1662120985469,1662120985548,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662120985469,137.1747437,nissan,50.39893341,isuzu_elf-truck,14.66326427,tractor-trailer,81.73703766,white,99.99906158
2022-09-02 05:16:39,221388142,94.09685516,us-tx,97.80952454,us,FALSE,566832,566969,1662120990968,1662120995553,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662120995074,135.8704529,freightliner,56.81080246,mercedes-benz_lkw,38.51455307,tractor-trailer,99.98748016,white,99.62058258
2022-09-02 05:16:52,221388142,93.86127472,us-wa,98.80000305,us,FALSE,567288,567353,1662121006193,1662121008329,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662121008189,135.4547119,chevrolet,49.81710434,peugeot_3008,11.93923092,tractor-trailer,99.93325043,blue,99.39641571
2022-09-02 05:36:02,221388142,93.71917725,us-az,98.5,us,FALSE,601848,601877,1662122158266,1662122159215,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662122159005,127.8794556,kenworth,59.33669662,ford_f-350,37.00502014,tractor-trailer,99.8282547,white,98.7193985
2022-09-02 05:36:03,221388142,94.32064056,us-pa,92,us,FALSE,601870,601875,1662122159005,1662122159155,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662122159005,121.3163757,kenworth,59.33669662,ford_f-350,37.00502014,tractor-trailer,99.8282547,white,98.7193985
2022-09-02 05:36:13,221388142,93.73560333,us-az,98,us,FALSE,602145,602181,1662122168158,1662122169365,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662122169335,137.4824219,toyota,54.34729004,peugeot_207,5.181116581,sedan-standard,29.63658524,white,94.22705841
2022-09-02 05:36:28,221388142,93.95059204,us-in,99,us,FALSE,602600,602635,1662122183325,1662122184503,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662122184503,133.3805542,freightliner,69.91345215,mercedes-benz_lkw,47.05738068,tractor-trailer,99.99760437,white,99.81153107
2022-09-02 05:36:52,221388142,93.85970306,us-ca,96.47058868,us,FALSE,603274,603354,1662122205815,1662122208464,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662122208115,134.4858093,volvo,94.30649567,audi_q7,52.3591156,tractor-trailer,99.99301147,white,99.99974823
2022-09-02 05:37:03,221388142,93.87323761,us-az,96.36363983,us,FALSE,603636,603689,1662122217862,1662122219639,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662122219399,130.4467773,kenworth,90.72058868,ford_f-350,73.15765381,tractor-trailer,99.96396637,white,99.31656647
2022-09-02 05:46:48,221388142,94.00382233,us-ca,98.33333588,us,FALSE,621165,621237,1662122802166,1662122804582,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662122804233,132.0411987,ford,84.07184601,ford_f-250,59.66783142,truck-standard,98.1386261,white,99.99398041
2022-09-02 05:46:52,2088954454,93.77680206,us-ca,99,us,FALSE,621337,621340,1662122808190,1662122808270,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-2088954454-1662122808270,57.11688232,chevrolet,0,ford_f-350,0,tractor-trailer,99.69033813,white,0
2022-09-02 05:47:11,221388142,92.87574005,us-in,99,us,FALSE,621921,621946,1662122827363,1662122828211,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662122828102,132.0943604,isuzu,81.4968338,isuzu_elf-truck,19.84891129,tractor-trailer,99.99171448,white,99.56897736
2022-09-02 05:47:14,221388142,94.25954437,us-ca,94,us,FALSE,622012,622018,1662122830405,1662122830600,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662122830405,120.0921936,hyundai,16.30984306,ford_f-350,12.7153244,tractor-trailer,99.63538361,white,99.93579865
2022-09-02 05:49:31,221388142,93.70173645,us-az,96.5,us,FALSE,626037,626103,1662122964618,1662122966813,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662122966135,127.888916,kenworth,76.31548309,ford_f-350,15.46957302,tractor-trailer,99.84574127,white,97.83107758
2022-09-02 05:50:30,221388142,93.91759491,us-ca,92.875,us,FALSE,627770,627898,1662123022379,1662123026651,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662123026052,132.8143005,kenworth,61.99279404,peugeot_207,32.27642822,tractor-trailer,99.99830627,blue,69.82636261
