,BC_HW,BC_p_h,BC (ug/m3),BC_EF,BC_t1,BC_actual_TS,BC_t2
110,76.25844926,1.315854114,100.3449942,1035.56034,14470.61498,,14546.87343
111,54.62421016,1.289676805,70.44757682,727.0189928,14612.9284,,14667.55261
112,72.15095271,1.558317092,112.4340628,1160.319528,14740.78196,,14812.93291
113,7.757258843,1.301542859,10.09640485,104.1948981,14887.87806,,14895.63532
114,51.62943775,1.285068918,66.34738569,684.7050203,14883.53587,,14935.1653
115,49.38637658,1.295869019,63.99827535,660.4622016,14968.38244,,15017.76881
116,6.030212717,1.299504287,7.836287275,80.87048468,15003.4184,,15009.44861
117,10.35434712,1.302168642,13.48310613,139.1456553,15078.96999,,15089.32433
118,2.328165078,1.302958844,3.033503279,31.30575384,15104.78119,,15107.10935
119,11.5906438,1.302818896,15.10050976,155.8372607,15102.80398,,15114.39463
120,214.1769349,1.378121666,295.1618745,3046.070545,15170.98018,,15385.15712
121,47.46423342,1.504242157,71.39770087,736.824273,15315.96377,,15363.42801
122,58.40205001,1.341208246,78.32931105,808.35849,15447.06426,,15505.46631
123,41.89052196,1.310831398,54.91141145,566.6857662,15591.09866,,15632.98918
124,116.0904297,1.536840911,178.4125218,1841.217225,15692.87841,,15808.96884
125,44.88711469,1.333704239,59.86613514,617.8185146,15900.60792,,15945.49503
126,45.44136414,1.245356062,56.59067831,584.0158002,16036.27094,,16081.71231
127,57.68197372,1.310497777,75.59209833,780.1104548,16133.09006,,16190.77203
128,71.87828052,2.541855972,182.7042366,1885.507722,16275.37361,,16347.2519
129,3.343101751,1.60357108,5.360901287,55.32450128,16428.36501,,16431.70811
130,2.242351818,1.603455569,3.595511511,37.10567879,16434.06348,,16436.30584
131,54.05606336,1.397437616,75.53997631,779.5725555,16416.14651,,16470.20258
132,79.1954061,1.300976559,103.0313669,1063.283706,16531.88832,,16611.08372
133,63.44248106,1.308107,82.98955359,856.452193,16663.22312,,16726.6656
134,79.38782869,1.407827907,111.7644007,1153.408615,16834.9953,,16914.38313
135,79.72795967,2.490695859,198.578099,2049.325982,16989.42191,,17069.14987
136,45.11959231,2.42104369,109.2365042,1127.320723,17111.67291,,17156.7925
137,57.90498142,2.421851424,140.2372617,1447.248541,17228.88978,,17286.79476
138,59.81606339,2.332227378,139.5046607,1439.688098,17455.41666,,17515.23272
139,203.446843,2.401466717,488.5708221,5042.050884,17603.04033,,17806.48717
140,32.43203965,2.878986477,93.37140359,963.592885,17744.48143,,17776.91347
141,13.19244,3.862992551,50.96229745,525.9309097,17936.89446,,17950.0869
142,97.50856923,3.585784114,349.6446785,3608.333082,17914.291,,18011.79957
143,301.9135163,2.879539383,869.3718605,8971.9176,17888.9394,,18190.85292
144,93.74192713,3.528251409,330.7450864,3413.289292,18262.32944,,18356.07137
145,61.51426294,2.896881589,178.1995358,1839.019209,18456.75959,,18518.27385
146,11.53162338,1.666088719,19.21270762,198.2751426,18595.62415,,18607.15577
147,1.154679951,1.664210443,1.921630432,19.83122606,18624.81326,,18625.96794
148,9.403790154,1.687240508,15.86645568,163.7418226,18642.00537,,18651.40917
149,117.9743739,1.57028675,185.2535962,1911.817113,18587.59055,,18705.56492
150,46.61690653,5.824017406,271.497675,2801.856006,18920.83147,,18967.44838
151,236.9122774,3.941110508,933.6974659,9635.757848,18865.25948,,19102.17176
152,68.39836458,2.75900591,188.7114921,1947.502598,19162.82434,,19231.22271
153,32.73892557,1.603312527,52.4907295,541.7043284,19347.22928,,19379.9682
154,63.70141916,2.205568944,140.4978718,1449.938037,19487.11176,,19550.81318
155,26.24619655,3.051377719,80.08705937,826.4984527,19708.06684,,19734.31303
156,137.534053,3.122351536,429.4296615,4431.714107,19777.51972,,19915.05378
157,119.8079944,4.766858236,571.1077246,5893.831718,19996.69812,,20116.50611
158,62.98948233,3.757723379,236.6970504,2442.71356,20190.72756,,20253.71704
159,10.17285556,2.655165106,27.0106111,278.7495066,20322.08739,,20332.26024
160,77.59165926,3.533741725,274.1888839,2829.629282,20374.5218,,20452.11346
161,65.68810721,3.495754583,229.6295018,2369.776459,20502.90236,,20568.59046
162,3.593705357,3.830307277,13.76499578,142.0547564,20537.69952,,20541.29322
163,62.58774693,3.098203219,193.909559,2001.146649,20692.97334,,20755.56108
164,73.69013897,4.448459021,327.8075635,3382.974055,20873.77421,,20947.46435
165,100.9229395,5.661486845,571.3738944,5896.57859,21011.91922,,21112.84216
166,53.1943827,4.577159638,243.4791814,2512.705152,21212.22169,,21265.41607
167,73.92215297,7.925532795,585.8724476,6046.203659,21390.10915,,21464.03131
168,131.9447487,8.530837838,1125.599254,11616.1843,21533.47435,,21665.4191
169,7.573791669,16.1880813,122.6051553,1265.285203,21611.36102,,21618.93481
170,100.3073736,4.263461813,427.6566569,4413.416699,21783.31112,,21883.6185
171,28.48825892,2.263543039,64.48440018,665.4790099,22006.69563,,22035.18389
172,8.248555893,2.215439738,18.2741785,188.5895221,22059.66929,,22067.91784
173,83.13123569,7.052566723,586.2885864,6050.498212,22282.01925,,22365.15049
174,57.01747903,2.814524245,160.4770771,1656.123436,22424.62655,,22481.64403
175,3.041398699,3.562059816,10.83364409,111.803207,22458.16313,,22461.20453
176,3.682724221,1.787973239,6.584612354,67.95319949,22519.47895,,22523.16167
177,89.70233236,2.598813846,233.1196634,2405.794926,22594.57487,,22684.2772
178,21.99424342,1.587244667,34.91024558,360.2737344,22744.70435,,22766.69859
179,124.9987988,3.39712796,424.6369143,4382.252956,22958.05367,,23083.05247
180,17.00838291,2.562350194,43.58143326,449.7603912,23129.46533,,23146.47371
181,74.78665203,2.417895558,180.8263137,1866.127557,23251.3334,,23326.12005
182,55.82681143,2.222716191,124.0871576,1280.579466,23382.39402,,23438.22083
183,82.64306162,1.761491568,145.5750562,1502.33458,23549.09162,,23631.73468
184,59.70881884,1.738459673,103.8013737,1071.230177,23701.48586,,23761.19467
185,69.55816331,3.350234965,233.0361908,2404.933489,23825.30737,,23894.86553
186,204.0537739,2.363513409,482.2838309,4977.169135,23964.53303,,24168.58681
187,2.229288952,4.111808408,9.166409057,94.59734147,24079.63524,,24081.86453
188,57.98107037,3.959118453,229.5539256,2368.996512,24052.01416,,24109.99523
189,63.2082279,2.550130607,161.1892366,1663.472922,24315.10845,,24378.31667
190,94.8422789,7.83844718,743.4161936,7672.055118,24471.60912,,24566.4514
191,25.65959154,2.355712615,60.44662349,623.8091544,24699.45793,,24725.11753
192,203.2739753,1.755749091,356.8980974,3683.188365,24689.11462,,24892.3886
193,78.52414233,3.19513552,250.8952763,2589.239251,24975.30249,,25053.82663
194,59.56617573,1.703152292,101.4502687,1046.966773,25112.5126,,25172.07877
195,2.314083533,2.744477183,6.350949456,65.54179839,25145.58192,,25147.89601
196,80.62002483,2.55553368,206.0271887,2126.200587,25236.67218,,25317.2922
197,10.20831459,1.785797881,18.22998657,188.1334614,25379.77031,,25389.97863
198,63.60623404,1.79984969,114.4816607,1181.450738,25404.94447,,25468.5507
199,75.69620266,4.614808785,349.323501,3605.01853,25561.42818,,25637.12439
200,12.00501508,1.763830765,21.17481493,218.5240901,25691.7509,,25703.75591
201,55.30442394,2.346925489,129.7953622,1339.488138,25752.09804,,25807.40246
202,101.834479,3.375563113,343.748711,3547.486698,25880.98381,,25982.81829
203,68.47582113,2.369224276,162.2345778,1674.260843,26078.15965,,26146.63547
204,1.589703054,1.93258516,3.07223653,31.70548099,26191.8361,,26193.42581
205,16.69472921,1.964823879,32.80220259,338.5187307,26204.57771,,26221.27244
206,65.34129999,2.247868877,146.8786746,1515.787922,26263.03163,,26328.37293
207,25.39137709,1.816073281,46.1126015,475.8820475,26390.83753,,26416.22891
208,76.17946483,1.885867448,143.6643729,1482.616328,26624.24311,,26700.42258
209,108.668448,3.63065579,394.5377299,4071.629373,26778.1526,,26886.82105
210,54.77144724,2.033055853,111.3534114,1149.167206,26979.24498,,27034.01643
211,42.52920938,1.409869776,59.96064691,618.7938761,27095.87023,,27138.39944
212,38.44419552,1.54968989,59.57658112,614.8303172,27249.59044,,27288.03464
213,174.9453035,1.478518054,258.6597896,2669.369029,27235.37293,,27410.31824
214,99.7217299,2.199432027,219.3311666,2263.497639,27510.2969,,27610.01863
215,96.78410013,1.587487303,153.6435301,1585.601231,27682.23282,,27779.01692
216,89.49758433,2.976804976,266.4168544,2749.421937,27858.11075,,27947.60833
217,61.14571732,2.779171433,169.9344308,1753.723326,27991.83475,,28052.98047
218,27.17486934,2.01486442,54.75367735,565.0579503,28218.39289,,28245.56776
219,210.3845022,2.977499737,626.4197999,6464.652335,28332.67996,,28543.06446
220,64.76048012,1.620349671,104.9346226,1082.925305,28668.62137,,28733.38185
221,101.3694381,3.122046725,316.4801223,3266.074862,28828.03999,,28929.40943
222,66.87941412,1.675325258,112.0447717,1156.302044,29026.26742,,29093.14684
223,79.36077861,5.453817685,432.8192179,4466.694329,29195.05552,,29274.4163
224,52.6995365,1.659150308,87.43645223,902.344187,29344.12601,,29396.82554
225,85.22049374,2.245306637,191.3461402,1974.692167,29450.02262,,29535.24311
226,71.41581965,2.944092758,210.2547975,2169.82951,29592.62289,,29664.0387
227,124.6185487,5.235828191,652.4813102,6733.607121,29787.36464,,29911.98319
228,46.64743663,1.716657137,80.07765503,826.4013999,29990.51892,,30037.16635
229,71.71588803,2.392726035,171.5964724,1770.875595,30103.03338,,30174.74927
230,14.7890834,1.749278273,25.87022227,266.9806938,30241.08268,,30255.87177
231,6.384563633,1.732043478,11.0583418,114.1220874,30268.11101,,30274.49557
232,4.31163226,1.728625247,7.453196382,76.91698666,30293.25702,,30297.56865
233,105.6428086,2.059731751,217.5958472,2245.589143,30340.22247,,30445.86528
234,78.35024896,2.372647858,185.8975504,1918.46272,30538.88039,,30617.23063
235,62.86926115,1.907240793,119.9068195,1237.438377,30684.63302,,30747.50228
236,86.43767518,2.497385371,215.8681855,2227.759674,30861.38414,,30947.82182
237,27.31680012,1.538768411,42.03422912,433.7932445,31000.60708,,31027.92388
238,58.32734873,2.318527668,135.2335718,1395.610461,31135.87692,,31194.20427
239,126.9826566,2.257853791,286.7082725,2958.829372,31256.38681,,31383.36947
240,86.84159877,2.174579728,188.8439802,1948.869876,31549.6909,,31636.53249
241,101.8012605,2.463484181,250.7857949,2588.109403,31704.29161,,31806.09287
242,19.39661096,2.470167638,47.91288069,494.4609287,31830.56693,,31849.96354
243,75.05144506,2.396926873,179.8928255,1856.493959,31959.6934,,32034.74485
244,11.49658645,1.495731962,17.1958118,177.4607778,32090.5577,,32102.05428
245,2.19277718,1.239653783,2.718284527,28.05269632,32151.59394,,32153.78671
246,26.7642435,2.152735194,57.61632893,594.6005146,32243.95482,,32270.71907
247,92.18887969,3.251555412,299.7572507,3093.494827,32327.47089,,32419.65977
248,17.66690483,1.580204918,27.91732989,288.1068445,32474.94621,,32492.61311
249,1.180039591,1.385489782,1.634932795,16.87250644,32529.5,,32530.68004
250,28.33766439,1.426453495,40.42236041,417.1587594,32558.32929,,32586.66696
251,16.05536293,4.020364609,64.54841292,666.1396213,32715.88949,,32731.94485
252,172.1616664,2.736854221,471.1813833,4862.591876,32670.01511,,32842.17677
253,71.35922157,3.214407924,229.3776472,2367.177319,32917.57005,,32988.92928
